curso;disciplina;grau_exig;modalidade;media_notas_ant;num_disc_evadidas;mensal_atraso;sexo;idade;dist;sem;tamanho_turma;sit
Administração;Planejamento contábil;2;1;9.3;0;2;F;19;1;4;41;0
Engenharia de Produção;Cálculo A;3;1;9.3;0;3;M;26;3;5;43;1
Administração;Cálculo A;3;1;9.3;0;4;F;22;1;5;20;0
Administração;Matemática financeira;2;1;9.3;0;0;F;29;2;5;41;0
Gestão da Produção;Métodos Estatísticos;3;1;9.3;0;1;F;24;1;5;42;0
Gestão da Produção;Gestão de Projetos;1;2;9.3;0;0;M;25;2;6;50;1
Administração;Gestão de Projetos;1;2;9.3;0;0;M;27;1;6;50;0
Engenharia de Produção;Gestão de Projetos;1;1;9.3;0;0;M;19;2;7;20;
Administração;Métodos Estatísticos;3;1;9.3;0;0;F;22;1;7;33;
Administração;Gestão de Projetos;1;1;9.4;0;1;M;30;1;1;41;0
Engenharia de Produção;Gestão de Projetos;1;1;9.4;0;0;M;25;1;1;30;0
Administração;Matemática financeira;2;1;9.4;0;1;M;20;1;2;25;0
Administração;Planejamento contábil;2;1;9.4;0;0;M;23;1;2;42;0
Administração;Cálculo A;3;1;9.4;0;1;F;19;3;3;27;1
Engenharia de Produção;Cálculo A;3;1;9.4;0;0;M;27;1;4;35;0
Administração;Métodos Estatísticos;3;1;9.4;0;0;F;26;1;4;24;0
Administração;Cálculo A;3;1;9.4;1;2;F;28;1;5;41;0
Gestão da Produção;Métodos Estatísticos;3;1;9.4;0;3;M;19;1;5;20;0
Administração;Estratégias de marketing;1;1;9.4;0;0;M;20;3;6;40;0
Gestão da Produção;Gestão de Projetos;1;2;9.4;0;0;M;23;2;6;50;1
Engenharia de Produção;Métodos Estatísticos;3;1;9.4;0;0;M;27;2;6;43;0
Gestão da Produção;Métodos Estatísticos;3;1;9.4;0;2;F;21;2;6;24;0
Administração;Planejamento contábil;2;1;9.4;0;0;M;25;3;6;42;0
Administração;Comportamento do consumidor;1;1;9.4;0;3;F;29;2;7;20;
Administração;Planejamento contábil;2;1;9.4;0;0;M;21;1;7;30;
Gestão da Produção;Gestão de Projetos;1;2;9.6;0;0;M;19;2;1;20;0
Administração;Estratégias de marketing;1;2;9.6;0;0;M;28;1;4;20;0
Administração;Estratégias de marketing;1;2;9.6;1;0;F;18;2;4;20;0
