curso;disciplina;grau_exig;modalidade;media_notas_ant;num_disc_evadidas;mensal_atraso;sexo;idade;dist;sem;tamanho_turma;sit
Administração;Comportamento do consumidor;1;2;6.6;1;0;F;21;1;1;43;0
Gestão da Produção;Gestão de Projetos;1;1;6.6;0;1;M;21;1;1;25;1
Gestão da Produção;Matemática financeira;2;2;6.6;0;0;F;25;1;1;36;1
Administração;Cálculo A;3;1;6.6;0;0;F;20;2;2;40;0
Gestão da Produção;Gestão de Projetos;1;1;6.6;2;0;M;25;1;3;25;0
Administração;Gestão de Projetos;1;2;6.6;1;0;F;20;2;3;41;1
Administração;Planejamento contábil;2;1;6.6;0;0;F;26;1;3;30;0
Engenharia de Produção;Gestão de Projetos;1;1;6.6;1;0;M;26;1;4;20;0
Gestão da Produção;Métodos Estatísticos;3;1;6.6;0;0;M;24;2;4;35;0
Administração;Métodos Estatísticos;3;2;6.6;0;0;F;20;3;4;50;0
Administração;Gestão de Projetos;1;1;6.6;0;0;F;19;3;5;35;0
Administração;Matemática financeira;2;1;6.6;0;0;M;21;2;5;30;0
Administração;Matemática financeira;2;1;6.6;0;0;F;22;2;5;41;1
Engenharia de Produção;Cálculo B;3;1;6.6;0;0;M;25;1;6;25;0
Gestão da Produção;Matemática financeira;2;1;6.7;0;0;F;24;3;5;41;0
Gestão da Produção;Matemática financeira;2;1;6.8;1;0;M;18;3;5;24;1
Administração;Comportamento do consumidor;1;1;7,0;1;3;F;21;1;1;42;0
Administração;Gestão de Projetos;1;1;7,0;0;0;F;23;2;1;20;0
Gestão da Produção;Métodos Estatísticos;3;1;7,0;0;0;F;21;1;1;42;0
Gestão da Produção;Métodos Estatísticos;3;1;7,0;0;0;F;24;1;1;25;0
Administração;Cálculo A;3;1;7,0;2;0;M;24;1;2;33;1
Administração;Cálculo A;3;1;7,0;0;0;M;26;1;2;41;0
Engenharia de Produção;Cálculo A;3;1;7,0;0;1;M;35;1;2;30;0
Gestão da Produção;Gestão de Projetos;1;2;7,0;0;3;F;24;2;2;35;0
Administração;Matemática financeira;2;1;7,0;0;2;M;32;3;2;42;0
Administração;Planejamento contábil;2;1;7,0;2;0;F;25;1;2;35;0
Administração;Métodos Estatísticos;3;1;7,0;0;0;F;23;1;3;35;0
Administração;Comportamento do consumidor;1;1;7,0;0;0;F;18;1;4;35;1
Administração;Estratégias de marketing;1;1;7,0;0;2;F;18;1;4;42;0
Administração;Gestão de Projetos;1;1;7,0;0;1;M;19;2;4;35;0
Administração;Cálculo A;3;1;7,0;0;0;F;21;2;5;39;1
Engenharia de Produção;Métodos Estatísticos;3;1;7,0;0;0;M;28;2;5;30;0
Administração;Planejamento contábil;2;1;7,0;0;0;F;25;1;5;24;0
Engenharia de Produção;Cálculo A;3;1;7,0;0;0;F;19;2;6;30;0
Engenharia de Produção;Cálculo B;3;1;7,0;0;0;M;27;1;6;32;0
Administração;Estratégias de marketing;1;1;7,0;1;0;F;18;1;6;42;0
Administração;Estratégias de marketing;1;2;7,0;3;0;M;20;1;6;24;1
Gestão da Produção;Gestão de Projetos;1;2;7,0;1;3;M;25;1;6;50;1
Administração;Métodos Estatísticos;3;1;7,0;2;1;M;28;3;6;39;1
Gestão da Produção;Métodos Estatísticos;3;2;7,0;1;7;M;24;1;6;50;1
Administração;Matemática financeira;2;1;7,0;4;0;F;22;1;7;33;
Gestão da Produção;Métodos Estatísticos;3;2;7,0;2;0;M;19;3;7;25;
Administração;Cálculo A;3;1;7.1;0;4;M;21;2;2;25;1
Gestão da Produção;Métodos Estatísticos;3;1;7.1;0;0;F;20;3;3;24;0
Gestão da Produção;Métodos Estatísticos;3;2;7.1;0;0;F;29;1;3;35;0
Gestão da Produção;Matemática financeira;2;1;7.1;0;0;F;29;1;5;23;0
Administração;Comportamento do consumidor;1;2;7.1;2;0;F;23;1;7;50;
Gestão da Produção;Métodos Estatísticos;3;1;7.2;0;0;F;30;3;1;35;0
Administração;Métodos Estatísticos;3;2;7.2;0;0;M;32;1;1;35;0
Administração;Gestão de Projetos;1;1;7.2;3;2;F;19;1;2;24;1
Engenharia de Produção;Gestão de Projetos;1;1;7.2;4;0;F;21;1;2;41;1
Gestão da Produção;Métodos Estatísticos;3;2;7.2;0;1;F;25;1;2;35;0
Gestão da Produção;Matemática financeira;2;1;7.2;0;0;F;30;1;3;42;0
Administração;Gestão de Projetos;1;1;7.2;1;3;F;29;1;4;35;0
Engenharia de Produção;Cálculo B;3;1;7.2;0;0;F;23;3;5;25;0
Gestão da Produção;Métodos Estatísticos;3;1;7.2;0;0;M;26;1;5;24;0
Administração;Planejamento contábil;2;1;7.2;0;0;M;20;3;5;33;0
Gestão da Produção;Gestão de Projetos;1;2;7.2;2;0;M;22;1;6;39;1
Administração;Matemática financeira;2;1;7.2;1;0;F;22;3;6;20;0
Engenharia de Produção;Cálculo B;3;1;7.3;0;0;F;28;1;1;25;0
Administração;Comportamento do consumidor;1;2;7.3;1;3;F;19;2;1;33;1
Engenharia de Produção;Gestão de Projetos;1;1;7.3;0;0;M;18;1;1;24;0
Administração;Gestão de Projetos;1;1;7.3;0;0;F;20;1;1;20;0
Gestão da Produção;Métodos Estatísticos;3;1;7.3;0;0;M;18;1;1;33;0
Administração;Métodos Estatísticos;3;2;7.3;0;0;F;25;2;1;43;1
Administração;Métodos Estatísticos;3;2;7.3;2;0;F;20;2;1;35;0
Engenharia de Produção;Cálculo B;3;1;7.3;0;0;M;25;2;2;30;0
Administração;Métodos Estatísticos;3;2;7.3;1;4;M;19;1;2;20;1
Administração;Planejamento contábil;2;1;7.3;1;0;M;26;3;2;40;0
Administração;Cálculo A;3;1;7.3;0;0;M;20;2;3;30;0
Administração;Comportamento do consumidor;1;1;7.3;0;0;F;22;1;3;43;0
Gestão da Produção;Gestão de Projetos;1;1;7.3;0;0;F;20;1;3;40;0
Administração;Matemática financeira;2;1;7.3;1;0;M;20;2;3;25;0
Gestão da Produção;Matemática financeira;2;1;7.3;2;0;M;21;2;3;30;0
Engenharia de Produção;Métodos Estatísticos;3;1;7.3;2;0;M;25;3;3;40;0
Gestão da Produção;Métodos Estatísticos;3;1;7.3;1;0;M;22;1;3;24;0
Gestão da Produção;Métodos Estatísticos;3;2;7.3;0;0;M;25;1;3;42;0
Gestão da Produção;Métodos Estatísticos;3;2;7.3;0;0;M;28;2;3;33;0
Administração;Comportamento do consumidor;1;2;7.3;1;4;M;27;3;4;24;0
Administração;Gestão de Projetos;1;1;7.3;1;1;M;19;1;4;35;0
Engenharia de Produção;Gestão de Projetos;1;1;7.3;0;4;M;20;1;4;25;0
Administração;Gestão de Projetos;1;1;7.3;0;0;F;19;1;4;41;0
Administração;Matemática financeira;2;1;7.3;0;3;M;21;2;4;30;0
Administração;Planejamento contábil;2;1;7.3;0;2;M;30;3;4;30;0
Engenharia de Produção;Cálculo B;3;1;7.3;1;0;M;20;1;5;24;0
Administração;Gestão de Projetos;1;1;7.3;1;0;F;19;2;5;30;1
Gestão da Produção;Gestão de Projetos;1;1;7.3;0;0;F;27;2;5;25;0
Administração;Gestão de Projetos;1;2;7.3;0;0;F;22;1;5;50;1
Administração;Matemática financeira;2;1;7.3;0;0;M;26;1;5;30;0
Gestão da Produção;Matemática financeira;2;2;7.3;0;0;M;28;1;5;40;0
Gestão da Produção;Métodos Estatísticos;3;1;7.3;0;0;M;29;1;5;40;0
Gestão da Produção;Métodos Estatísticos;3;1;7.3;0;0;F;19;1;5;25;0
Engenharia de Produção;Cálculo A;3;1;7.3;0;0;M;23;2;6;35;0
Administração;Cálculo A;3;1;7.3;0;0;F;21;1;6;24;0
Administração;Estratégias de marketing;1;1;7.3;1;1;M;19;1;6;30;0
Administração;Estratégias de marketing;1;2;7.3;0;0;M;20;1;6;35;0
Administração;Estratégias de marketing;1;2;7.3;0;2;F;20;1;6;41;0
Gestão da Produção;Gestão de Projetos;1;2;7.3;0;0;M;18;1;6;42;0
Administração;Gestão de Projetos;1;2;7.3;2;0;F;24;1;6;33;0
Administração;Matemática financeira;2;1;7.3;2;3;F;18;1;6;35;1
Administração;Cálculo A;3;1;7.3;1;0;F;20;2;7;24;
